TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/08/06
TIME,18:47:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.6748
LASTX, 4000.1226
NPOINTS,    7469
FIRSTY,     0.08508
MAXY,     0.26018
MINY,    -0.04835
XYDATA
399.6748,0.0850756
400.1569,0.0380175
400.6390,0.0178126
401.1211,0.018257
401.6032,0.0287827
402.0854,0.042139
402.5675,0.0562705
403.0496,0.0720021
403.5317,0.0897561
404.0138,0.107399
404.4959,0.120592
404.9781,0.125702
405.4602,0.123085
405.9423,0.117513
406.4244,0.113726
406.9065,0.11393
407.3886,0.120529
407.8708,0.129187
408.3529,0.133145
408.8350,0.12539
409.3171,0.101778
409.7992,0.0640362
410.2813,0.0202013
410.7635,-0.0185111
411.2456,-0.0426261
411.7277,-0.0483461
412.2098,-0.038494
412.6919,-0.0188662
413.1740,0.00470863
413.6562,0.0257435
414.1383,0.0450741
414.6204,0.0659545
415.1025,0.090192
415.5846,0.115818
416.0667,0.137879
416.5489,0.151133
417.0310,0.152318
417.5131,0.140591
417.9952,0.116716
418.4773,0.0836287
418.9594,0.0496811
419.4416,0.0266685
419.9237,0.0192163
420.4058,0.0236077
420.8879,0.0350481
421.3700,0.0500245
421.8521,0.0649159
422.3343,0.07493
422.8164,0.0753804
423.2985,0.065177
423.7806,0.048529
424.2627,0.031921
424.7448,0.0200896
425.2270,0.0148729
425.7091,0.0160855
426.1912,0.0224883
426.6733,0.0322881
427.1554,0.0434053
427.6375,0.0537739
428.1197,0.0617292
428.6018,0.0663896
429.0839,0.0678633
429.5660,0.0670849
430.0481,0.0652001
430.5302,0.0626881
431.0124,0.0588175
431.4945,0.0521752
431.9766,0.0421551
432.4587,0.0300049
432.9408,0.0184089
433.4229,0.010223
433.9051,0.00742742
434.3872,0.010599
434.8693,0.0187138
435.3514,0.0291981
435.8335,0.0384707
436.3156,0.0432572
436.7978,0.0422713
437.2799,0.0370105
437.7620,0.0308845
438.2441,0.0273781
438.7262,0.0284839
439.2083,0.0340186
439.6905,0.0418419
440.1726,0.0490004
440.6547,0.0521713
441.1368,0.0495138
441.6189,0.0412091
442.1010,0.0296714
442.5832,0.0187923
443.0653,0.0121057
443.5474,0.0109562
444.0295,0.0141957
444.5116,0.0193537
444.9937,0.0239246
445.4759,0.0260612
445.9580,0.0249699
446.4401,0.0213102
446.9222,0.0171894
447.4043,0.01511
447.8864,0.0163457
448.3686,0.0201373
448.8507,0.024177
449.3328,0.0257767
449.8149,0.0231491
450.2970,0.0163756
450.7791,0.0075457
451.2613,-0.000138727
451.7434,-0.0039018
452.2255,-0.0028881
452.7076,0.00119191
453.1897,0.00509826
453.6718,0.00646602
454.1540,0.00538222
454.6361,0.0036323
455.1182,0.00290654
455.6003,0.00377499
456.0824,0.00570591
456.5645,0.00760681
457.0467,0.00858035
457.5288,0.00866956
458.0109,0.00873834
458.4930,0.00914572
458.9751,0.00918566
459.4572,0.00809059
459.9394,0.00597903
460.4215,0.00408071
460.9036,0.00434243
461.3857,0.00830245
461.8678,0.0156738
462.3499,0.0239996
462.8321,0.0299382
463.3142,0.0309679
463.7963,0.0263633
464.2784,0.0173903
464.7605,0.00687782
465.2426,-0.00185841
465.7248,-0.00639295
466.2069,-0.00606439
466.6890,-0.00186102
467.1711,0.0043684
467.6532,0.01076
468.1353,0.0160076
468.6175,0.0196315
469.0996,0.0219319
469.5817,0.0236293
470.0638,0.0253693
470.5459,0.027323
471.0280,0.0289235
471.5102,0.0287894
471.9923,0.0253367
472.4744,0.0184993
472.9565,0.010834
473.4386,0.00572782
473.9207,0.00494658
474.4029,0.00835307
474.8850,0.014721
475.3671,0.0222431
475.8492,0.0288082
476.3313,0.0325189
476.8134,0.0324231
477.2956,0.0288912
477.7777,0.0233384
478.2598,0.0176785
478.7419,0.0138852
479.2240,0.0135464
479.7061,0.0172195
480.1883,0.0238663
480.6704,0.0310331
481.1525,0.0359985
481.6346,0.0371401
482.1167,0.0345565
482.5988,0.0297201
483.0810,0.0245445
483.5631,0.0203184
484.0452,0.0170614
484.5273,0.0138775
485.0094,0.0100596
485.4915,0.0058234
485.9737,0.00209644
486.4558,-0.000160721
486.9379,-0.000461072
487.4200,0.00111417
487.9021,0.00412621
488.3842,0.00801446
488.8664,0.0121466
489.3485,0.0157558
489.8306,0.0180287
490.3127,0.0184629
490.7948,0.0173012
491.2769,0.0156535
491.7591,0.0149962
492.2412,0.0161979
492.7233,0.0188533
493.2054,0.0216286
493.6875,0.0232981
494.1696,0.0234782
494.6518,0.0226085
495.1339,0.0213996
495.6160,0.0200202
496.0981,0.0180087
496.5802,0.0148202
497.0623,0.0105631
497.5445,0.00627078
498.0266,0.00345224
498.5087,0.00318912
498.9908,0.00548292
499.4729,0.00945379
499.9550,0.0141279
500.4372,0.018962
500.9193,0.0236711
501.4014,0.02763
501.8835,0.0295497
502.3656,0.0281674
502.8477,0.0235906
503.3299,0.0176064
503.8120,0.0124682
504.2941,0.00964396
504.7762,0.00946669
505.2583,0.0114016
505.7404,0.0144862
506.2226,0.017748
506.7047,0.0204879
507.1868,0.0223476
507.6689,0.0232034
508.1510,0.0230638
508.6331,0.0220749
509.1153,0.0205499
509.5974,0.0189059
510.0795,0.0175077
510.5616,0.0165249
511.0437,0.0159332
511.5258,0.0156762
512.0080,0.0158232
512.4901,0.0165384
512.9722,0.0178736
513.4543,0.019595
513.9365,0.0212493
514.4186,0.0224495
514.9007,0.023128
515.3828,0.0235143
515.8649,0.0238378
