TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/06/19
TIME,12:22:06
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.6748
LASTX, 4000.1226
NPOINTS,    7469
FIRSTY,     0.01261
MAXY,     0.39615
MINY,    -0.01625
XYDATA
399.6748,0.0126065
400.1569,0.0438247
400.6390,0.0559186
401.1211,0.0523058
401.6032,0.041613
402.0854,0.0327868
402.5675,0.0308746
403.0496,0.036436
403.5317,0.0468235
404.0138,0.0580478
404.4959,0.0669818
404.9781,0.0729503
405.4602,0.0772918
405.9423,0.0811108
406.4244,0.0833531
406.9065,0.081274
407.3886,0.0731836
407.8708,0.0606309
408.3529,0.0483002
408.8350,0.040838
409.3171,0.0395888
409.7992,0.0419849
410.2813,0.0435841
410.7635,0.041094
411.2456,0.0347481
411.7277,0.0283333
412.2098,0.0259191
412.6919,0.0277739
413.1740,0.0298204
413.6562,0.0270887
414.1383,0.0178436
414.6204,0.00551112
415.1025,-0.00275168
415.5846,-1.47881E-005
416.0667,0.0167255
416.5489,0.0453553
417.0310,0.0793207
417.5131,0.108043
417.9952,0.117156
418.4773,0.0948768
418.9594,0.0507358
419.4416,0.0183296
419.9237,0.0161328
420.4058,0.033176
420.8879,0.0535827
421.3700,0.0688212
421.8521,0.0760536
422.3343,0.075163
422.8164,0.0673148
423.2985,0.0544158
423.7806,0.0388053
424.2627,0.0230682
424.7448,0.0100199
425.2270,0.00249469
425.7091,0.00249214
426.1912,0.0100493
426.6733,0.0230402
427.1554,0.0383969
427.6375,0.0535643
428.1197,0.0668729
428.6018,0.0769194
429.0839,0.081948
429.5660,0.0801012
430.0481,0.0707006
430.5302,0.0556324
431.0124,0.0391877
431.4945,0.0257736
431.9766,0.0172951
432.4587,0.0125809
432.9408,0.00903622
433.4229,0.0047837
433.9051,-0.000222089
434.3872,-0.00441258
434.8693,-0.00561409
435.3514,-0.00212153
435.8335,0.00658154
436.3156,0.0194987
436.7978,0.034184
437.2799,0.0473349
437.7620,0.0558728
438.2441,0.0580148
438.7262,0.0538142
439.2083,0.0450783
439.6905,0.0348566
440.1726,0.0266893
440.6547,0.0237445
441.1368,0.0279233
441.6189,0.038992
442.1010,0.0539741
442.5832,0.0674588
443.0653,0.0735492
443.5474,0.0688641
444.0295,0.0542702
444.5116,0.0339205
444.9937,0.012957
445.4759,-0.00417343
445.9580,-0.0143955
446.4401,-0.0162479
446.9222,-0.01003
447.4043,0.0023693
447.8864,0.0181731
448.3686,0.0345302
448.8507,0.0488635
449.3328,0.0588772
449.8149,0.0628092
450.2970,0.0600979
450.7791,0.0519659
451.2613,0.0412985
451.7434,0.0316863
452.2255,0.0260117
452.7076,0.0251676
453.1897,0.0276933
453.6718,0.0309356
454.1540,0.0330058
454.6361,0.0337352
455.1182,0.0340807
455.6003,0.0350923
456.0824,0.0373418
456.5645,0.0407806
457.0467,0.0447148
457.5288,0.04793
458.0109,0.0493605
458.4930,0.0488804
458.9751,0.0469619
459.4572,0.0437447
459.9394,0.0388377
460.4215,0.0317792
460.9036,0.022696
461.3857,0.0127981
461.8678,0.0041525
462.3499,-0.00140848
462.8321,-0.00332222
463.3142,-0.00235296
463.7963,7.45819E-005
464.2784,0.00255854
464.7605,0.00414538
465.2426,0.00452074
465.7248,0.00397418
466.2069,0.00315792
466.6890,0.00277988
467.1711,0.00339751
467.6532,0.0053259
468.1353,0.00854322
468.6175,0.0125751
469.0996,0.0165579
469.5817,0.0195995
470.0638,0.0211636
470.5459,0.0211718
471.0280,0.0199068
471.5102,0.0179624
471.9923,0.0162592
472.4744,0.0158185
472.9565,0.0171361
473.4386,0.0199045
473.9207,0.0236004
474.4029,0.0280281
474.8850,0.0332312
475.3671,0.039117
475.8492,0.0451733
476.3313,0.0505075
476.8134,0.0542715
477.2956,0.0561572
477.7777,0.0564514
478.2598,0.0555894
478.7419,0.0536859
479.2240,0.0505
479.7061,0.0458788
480.1883,0.0403154
480.6704,0.035114
481.1525,0.0319628
481.6346,0.0322018
482.1167,0.0361806
482.5988,0.0428547
483.0810,0.0497178
483.5631,0.0534458
484.0452,0.051506
484.5273,0.0438191
485.0094,0.0328678
485.4915,0.0221534
485.9737,0.0144929
486.4558,0.0111324
486.9379,0.0116234
487.4200,0.0142452
487.9021,0.0168933
488.3842,0.0181476
488.8664,0.0179341
489.3485,0.0173476
489.8306,0.0177988
490.3127,0.0200979
490.7948,0.0239838
491.2769,0.0282508
491.7591,0.0313708
492.2412,0.0323001
492.7233,0.0309325
493.2054,0.0278512
493.6875,0.0237328
494.1696,0.0190517
494.6518,0.0142551
495.1339,0.0100617
495.6160,0.00745074
496.0981,0.00721588
496.5802,0.00941702
497.0623,0.0132338
497.5445,0.0173866
498.0266,0.0208495
498.5087,0.0233803
498.9908,0.0254508
499.4729,0.0275663
499.9550,0.0295157
500.4372,0.0303325
500.9193,0.0288258
501.4014,0.0242917
501.8835,0.0184352
502.3656,0.0145454
502.8477,0.0150012
503.3299,0.0192013
503.8120,0.0241603
504.2941,0.026711
504.7762,0.0252643
505.2583,0.0204151
505.7404,0.0144754
506.2226,0.0101375
506.7047,0.00883653
507.1868,0.00994524
507.6689,0.0116092
508.1510,0.0124555
508.6331,0.0125147
509.1153,0.0127956
509.5974,0.014279
510.0795,0.0171954
510.5616,0.0209799
511.0437,0.0248493
511.5258,0.0284812
512.0080,0.032125
512.4901,0.0360374
512.9722,0.0398217
513.4543,0.0423192
513.9365,0.04225
514.4186,0.039163
514.9007,0.0339116
515.3828,0.0283042
