TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/09
TIME,17:08:57
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.6748
LASTX, 4000.1226
NPOINTS,    7469
FIRSTY,     0.21231
MAXY,     0.58271
MINY,    -0.10844
XYDATA
399.6748,0.21231
400.1569,0.230509
400.6390,0.253573
401.1211,0.260822
401.6032,0.244694
402.0854,0.212492
402.5675,0.175582
403.0496,0.142825
403.5317,0.119576
404.0138,0.107529
404.4959,0.104582
404.9781,0.106557
405.4602,0.110451
405.9423,0.11608
406.4244,0.124659
406.9065,0.135859
407.3886,0.145438
407.8708,0.14571
408.3529,0.130422
408.8350,0.100879
409.3171,0.0665848
409.7992,0.039681
410.2813,0.0290238
410.7635,0.0376248
411.2456,0.0630885
411.7277,0.0994084
412.2098,0.138793
412.6919,0.173116
413.1740,0.195371
413.6562,0.201452
414.1383,0.191641
414.6204,0.170557
415.1025,0.145104
415.5846,0.121633
416.0667,0.103843
416.5489,0.091899
417.0310,0.0821784
417.5131,0.0670374
417.9952,0.0355199
418.4773,-0.0194958
418.9594,-0.0816707
419.4416,-0.108435
419.9237,-0.0837462
420.4058,-0.0342264
420.8879,0.0139389
421.3700,0.0492828
421.8521,0.0685964
422.3343,0.0728423
422.8164,0.0664181
423.2985,0.0560493
423.7806,0.0496518
424.2627,0.0532318
424.7448,0.0686149
425.2270,0.0921872
425.7091,0.114948
426.1912,0.126369
426.6733,0.121227
427.1554,0.103014
427.6375,0.0805519
428.1197,0.0623603
428.6018,0.0530802
429.0839,0.0523965
429.5660,0.0562108
430.0481,0.059801
430.5302,0.0611286
431.0124,0.0617005
431.4945,0.0643776
431.9766,0.0701605
432.4587,0.0766421
432.9408,0.079354
433.4229,0.0749114
433.9051,0.0635219
434.3872,0.04924
434.8693,0.0381592
435.3514,0.0356401
435.8335,0.043715
436.3156,0.0599525
436.7978,0.0787349
437.2799,0.0942793
437.7620,0.103233
438.2441,0.10525
438.7262,0.101899
439.2083,0.0952895
439.6905,0.0872789
440.1726,0.0792484
440.6547,0.0720661
441.1368,0.0660079
441.6189,0.0607263
442.1010,0.0555745
442.5832,0.0503836
443.0653,0.0461101
443.5474,0.0445211
444.0295,0.0470381
444.5116,0.0537763
444.9937,0.063387
445.4759,0.0734821
445.9580,0.0813101
446.4401,0.0846062
446.9222,0.0824806
447.4043,0.0758354
447.8864,0.066894
448.3686,0.058219
448.8507,0.0519507
449.3328,0.04941
449.8149,0.0507481
450.2970,0.054591
450.7791,0.058084
451.2613,0.0578416
451.7434,0.0517613
452.2255,0.0406554
452.7076,0.0281852
453.1897,0.0187197
453.6718,0.0146992
454.1540,0.0156185
454.6361,0.0191693
455.1182,0.0231796
455.6003,0.0267412
456.0824,0.0300755
456.5645,0.0335749
457.0467,0.0365734
457.5288,0.0368284
458.0109,0.0323867
458.4930,0.0243799
458.9751,0.0160825
459.4572,0.0099761
459.9394,0.00704436
460.4215,0.00753092
460.9036,0.011461
461.3857,0.018573
461.8678,0.0279712
462.3499,0.0380611
462.8321,0.0470471
463.3142,0.0533744
463.7963,0.0557636
464.2784,0.0538022
464.7605,0.0482548
465.2426,0.0412848
465.7248,0.0359015
466.2069,0.0346331
466.6890,0.0381896
467.1711,0.0449988
467.6532,0.0519491
468.1353,0.0560898
468.6175,0.0564028
469.0996,0.0542204
469.5817,0.0518166
470.0638,0.0506441
470.5459,0.0506884
471.0280,0.0508121
471.5102,0.0494117
471.9923,0.0452855
472.4744,0.0386983
472.9565,0.0315531
473.4386,0.0259152
473.9207,0.0227672
474.4029,0.0223138
474.8850,0.0246335
475.3671,0.029698
475.8492,0.0369271
476.3313,0.0448942
476.8134,0.0516847
477.2956,0.055767
477.7777,0.0566357
478.2598,0.0547331
478.7419,0.0508774
479.2240,0.0457563
479.7061,0.0398576
480.1883,0.0337911
480.6704,0.0286074
481.1525,0.0256903
481.6346,0.0261827
482.1167,0.0303058
482.5988,0.0369322
483.0810,0.0436055
483.5631,0.0472322
484.0452,0.045575
484.5273,0.0387691
485.0094,0.0293289
485.4915,0.0204557
485.9737,0.014328
486.4558,0.0115665
486.9379,0.011579
487.4200,0.0131338
487.9021,0.0148995
488.3842,0.0159209
488.8664,0.015941
489.3485,0.0154122
489.8306,0.0151501
490.3127,0.0157801
490.7948,0.0172473
491.2769,0.0187124
491.7591,0.0190809
492.2412,0.0179817
492.7233,0.0163705
493.2054,0.0160472
493.6875,0.0184389
494.1696,0.023857
494.6518,0.0311158
495.1339,0.0372511
495.6160,0.0402424
496.0981,0.0396311
496.5802,0.0366358
497.0623,0.0331022
497.5445,0.0302762
498.0266,0.0283318
498.5087,0.0267369
498.9908,0.0249453
499.4729,0.0228123
499.9550,0.0204953
500.4372,0.0181047
500.9193,0.015544
501.4014,0.0127198
501.8835,0.00992154
502.3656,0.00787152
502.8477,0.00715636
503.3299,0.00761572
503.8120,0.00845512
504.2941,0.00888921
504.7762,0.00868293
505.2583,0.00834403
505.7404,0.0089502
506.2226,0.0115697
506.7047,0.016459
507.1868,0.022721
507.6689,0.0289488
508.1510,0.0342588
508.6331,0.0386574
509.1153,0.0425799
509.5974,0.0461834
510.0795,0.0489719
510.5616,0.0500654
511.0437,0.048973
511.5258,0.0461971
512.0080,0.0430665
512.4901,0.0409451
512.9722,0.0404156
513.4543,0.0409352
513.9365,0.041204
514.4186,0.040076
514.9007,0.0373699
515.3828,0.0340324
515.8649,0.0316799
516.3470,0.031828
516.8292,0.0350885
517.3113,0.0407499
