TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/06/24
TIME,17:09:35
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.6748
LASTX, 4000.1226
NPOINTS,    7469
FIRSTY,     0.01304
MAXY,     0.55669
MINY,    -0.02629
XYDATA
399.6748,0.0130351
400.1569,0.0399443
400.6390,0.072457
401.1211,0.0983512
401.6032,0.110534
402.0854,0.108002
402.5675,0.0929093
403.0496,0.0682607
403.5317,0.0379069
404.0138,0.00741432
404.4959,-0.0161896
404.9781,-0.0262899
405.4602,-0.0191442
405.9423,0.0041517
406.4244,0.0369453
406.9065,0.0685933
407.3886,0.0889215
407.8708,0.093517
408.3529,0.0854006
408.8350,0.0714829
409.3171,0.0574096
409.7992,0.0448978
410.2813,0.0327535
410.7635,0.0201182
411.2456,0.00900342
411.7277,0.00398282
412.2098,0.00961869
412.6919,0.0277901
413.1740,0.0563479
413.6562,0.0892035
414.1383,0.117753
414.6204,0.134032
415.1025,0.13477
415.5846,0.122895
416.0667,0.104768
416.5489,0.0864543
417.0310,0.0723838
417.5131,0.066232
417.9952,0.0724108
418.4773,0.0954856
418.9594,0.131213
419.4416,0.15486
419.9237,0.147284
420.4058,0.12066
420.8879,0.0908665
421.3700,0.0637601
421.8521,0.0407736
422.3343,0.0233824
422.8164,0.0141611
423.2985,0.015697
423.7806,0.028728
424.2627,0.0510826
424.7448,0.0776897
425.2270,0.101096
425.7091,0.113374
426.1912,0.110305
426.6733,0.0945322
427.1554,0.0734522
427.6375,0.0543273
428.1197,0.0413565
428.6018,0.0352599
429.0839,0.0339182
429.5660,0.0335476
430.0481,0.0305959
430.5302,0.0239599
431.0124,0.0159829
431.4945,0.0109571
431.9766,0.0121559
432.4587,0.0198405
432.9408,0.0312887
433.4229,0.042112
433.9051,0.0480301
434.3872,0.0467249
434.8693,0.0390738
435.3514,0.0286977
435.8335,0.0197818
436.3156,0.0147326
436.7978,0.0133757
437.2799,0.0139612
437.7620,0.0148005
438.2441,0.01514
438.7262,0.0149272
439.2083,0.0142009
439.6905,0.012922
440.1726,0.0114548
440.6547,0.0112785
441.1368,0.0151127
441.6189,0.0256592
442.1010,0.0429487
442.5832,0.0621688
443.0653,0.0752465
443.5474,0.0764851
444.0295,0.06676
444.5116,0.0520046
444.9937,0.0388654
445.4759,0.0316532
445.9580,0.0312157
446.4401,0.0351029
446.9222,0.0391462
447.4043,0.0401863
447.8864,0.037991
448.3686,0.0346838
448.8507,0.0325868
449.3328,0.0324603
449.8149,0.033115
450.2970,0.0323535
450.7791,0.0285406
451.2613,0.0217593
451.7434,0.0139683
452.2255,0.00831337
452.7076,0.00787019
453.1897,0.0140276
453.6718,0.0253828
454.1540,0.0383895
454.6361,0.0493378
455.1182,0.0556669
455.6003,0.0558145
456.0824,0.0485934
456.5645,0.0334264
457.0467,0.0123018
457.5288,-0.00783756
458.0109,-0.0178382
458.4930,-0.014972
458.9751,-0.00495942
459.4572,0.00486278
459.9394,0.0101902
460.4215,0.0100646
460.9036,0.00607852
461.3857,0.00133436
461.8678,-0.00122917
462.3499,-0.000438678
462.8321,0.00291666
463.3142,0.00724892
463.7963,0.0114538
464.2784,0.0154425
464.7605,0.0198358
465.2426,0.0252331
465.7248,0.0316724
466.2069,0.0386164
466.6890,0.0452645
467.1711,0.0508076
467.6532,0.0544812
468.1353,0.0555957
468.6175,0.0538039
469.0996,0.04951
469.5817,0.0439403
470.0638,0.0387066
470.5459,0.0352679
471.0280,0.0345829
471.5102,0.0367626
471.9923,0.0405366
472.4744,0.0432809
472.9565,0.0428477
473.4386,0.0395992
473.9207,0.0356132
474.4029,0.032587
474.8850,0.0310295
475.3671,0.0305177
475.8492,0.0302333
476.3313,0.0295677
476.8134,0.0285856
477.2956,0.0279478
477.7777,0.0282645
478.2598,0.0294731
478.7419,0.0308177
479.2240,0.0314112
479.7061,0.0308956
480.1883,0.0296415
480.6704,0.0282755
481.1525,0.0269445
481.6346,0.025033
482.1167,0.0216273
482.5988,0.0163838
483.0810,0.0101914
483.5631,0.00506354
484.0452,0.00304064
484.5273,0.00481234
485.0094,0.00940209
485.4915,0.0151825
485.9737,0.0209778
486.4558,0.0262287
486.9379,0.030422
487.4200,0.0326508
487.9021,0.0319742
488.3842,0.0283921
488.8664,0.0234102
489.3485,0.0194292
489.8306,0.0183635
490.3127,0.020534
490.7948,0.024531
491.2769,0.0281407
491.7591,0.0298793
492.2412,0.0300281
492.7233,0.0300828
493.2054,0.0310501
493.6875,0.0323504
494.1696,0.0322909
494.6518,0.0295087
495.1339,0.0241779
495.6160,0.0180623
496.0981,0.0133498
496.5802,0.0112035
497.0623,0.0111522
497.5445,0.0116591
498.0266,0.011341
498.5087,0.00992083
498.9908,0.00820464
499.4729,0.00720932
499.9550,0.00730747
500.4372,0.00815265
500.9193,0.009072
501.4014,0.00940341
501.8835,0.00960264
502.3656,0.0107541
502.8477,0.0135046
503.3299,0.0172311
503.8120,0.0203551
504.2941,0.0213566
504.7762,0.0196063
505.2583,0.0157029
505.7404,0.0113001
506.2226,0.00837591
506.7047,0.00810982
507.1868,0.0101256
507.6689,0.0129102
508.1510,0.0150953
508.6331,0.0163884
509.1153,0.0175144
509.5974,0.0194894
510.0795,0.0228073
510.5616,0.0270181
511.0437,0.030992
511.5258,0.0336819
512.0080,0.0347172
512.4901,0.0343912
512.9722,0.0332546
513.4543,0.0317739
513.9365,0.0302784
514.4186,0.0291007
514.9007,0.0286685
515.3828,0.0294088
515.8649,0.0315087
