TITLE,
DATA TYPE,INFRARED SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/07/15
TIME,16:04:34
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,0.482117
XUNITS,1/CM
YUNITS,ABSORBANCE
FIRSTX,  399.6748
LASTX, 4000.1226
NPOINTS,    7469
FIRSTY,    -0.11704
MAXY,     0.50828
MINY,    -0.11704
XYDATA
399.6748,-0.117044
400.1569,-0.0627866
400.6390,0.00566116
401.1211,0.0721178
401.6032,0.122704
402.0854,0.152985
402.5675,0.166522
403.0496,0.168959
403.5317,0.164315
404.0138,0.155333
404.4959,0.145143
404.9781,0.137363
405.4602,0.134325
405.9423,0.135156
406.4244,0.135685
406.9065,0.131018
407.3886,0.119353
407.8708,0.103717
408.3529,0.0900511
408.8350,0.0835627
409.3171,0.0859381
409.7992,0.0946234
410.2813,0.104248
410.7635,0.10929
411.2456,0.106335
411.7277,0.0948524
412.2098,0.0769011
412.6919,0.0566218
413.1740,0.039526
413.6562,0.0309702
414.1383,0.0338016
414.6204,0.0464227
415.1025,0.0629516
415.5846,0.0758609
416.0667,0.0794546
416.5489,0.0718739
417.0310,0.0548658
417.5131,0.0327379
417.9952,0.0126479
418.4773,0.00652953
418.9594,0.0272631
419.4416,0.0688558
419.9237,0.104527
420.4058,0.121047
420.8879,0.123736
421.3700,0.121701
421.8521,0.1164
422.3343,0.108398
422.8164,0.0968471
423.2985,0.081128
423.7806,0.0620682
424.2627,0.0420215
424.7448,0.0240952
425.2270,0.0112217
425.7091,0.0051098
426.1912,0.00522548
426.6733,0.00878292
427.1554,0.0122998
427.6375,0.0136024
428.1197,0.0127372
428.6018,0.0114572
429.0839,0.0119544
429.5660,0.0156199
430.0481,0.0223398
430.5302,0.0305643
431.0124,0.0381796
431.4945,0.0438503
431.9766,0.0479252
432.4587,0.0521044
432.9408,0.0581954
433.4229,0.0669157
433.9051,0.0771997
434.3872,0.0861067
434.8693,0.0896758
435.3514,0.0849315
435.8335,0.072037
436.3156,0.0547747
436.7978,0.0388628
437.2799,0.0294146
437.7620,0.0288768
438.2441,0.0360337
438.7262,0.0464392
439.2083,0.0543842
439.6905,0.0556356
440.1726,0.0493973
440.6547,0.0383981
441.1368,0.0273945
441.6189,0.0210711
442.1010,0.0219671
442.5832,0.0289796
443.0653,0.037708
443.5474,0.0433363
444.0295,0.0438207
444.5116,0.0403331
444.9937,0.0353691
445.4759,0.0309512
445.9580,0.0278442
446.4401,0.0256286
446.9222,0.0244655
447.4043,0.0242978
447.8864,0.0256024
448.3686,0.0290865
448.8507,0.0351839
449.3328,0.0436815
449.8149,0.0535504
450.2970,0.0629928
450.7791,0.0697468
451.2613,0.0716039
451.7434,0.0670211
452.2255,0.0557643
452.7076,0.0394595
453.1897,0.0215411
453.6718,0.00600779
454.1540,-0.00444945
454.6361,-0.00932809
455.1182,-0.00967317
455.6003,-0.00698985
456.0824,-0.00265868
456.5645,0.00207885
457.0467,0.0059582
457.5288,0.00794399
458.0109,0.00807512
458.4930,0.00753991
458.9751,0.00738056
459.4572,0.00785552
459.9394,0.00896694
460.4215,0.011025
460.9036,0.0147356
461.3857,0.0207368
461.8678,0.0288633
462.3499,0.0379122
462.8321,0.0462592
463.3142,0.052633
463.7963,0.0563861
464.2784,0.0573296
464.7605,0.0554699
465.2426,0.0508912
465.7248,0.0438835
466.2069,0.035226
466.6890,0.0263945
467.1711,0.0194589
467.6532,0.016508
468.1353,0.0186217
468.6175,0.0249222
469.0996,0.0326653
469.5817,0.0385656
470.0638,0.0401478
470.5459,0.0361223
471.0280,0.0262625
471.5102,0.011859
471.9923,-0.00314453
472.4744,-0.0125121
472.9565,-0.0119036
473.4386,-0.00276505
473.9207,0.00974234
474.4029,0.0210338
474.8850,0.0287267
475.3671,0.0323167
475.8492,0.0325902
476.3313,0.031073
476.8134,0.0293506
477.2956,0.0284834
477.7777,0.0288827
478.2598,0.030491
478.7419,0.0328081
479.2240,0.0346875
479.7061,0.0343492
480.1883,0.0301337
480.6704,0.0218049
481.1525,0.011243
481.6346,0.00183786
482.1167,-0.00351052
482.5988,-0.00332168
483.0810,0.00203678
483.5631,0.0104197
484.0452,0.0187355
484.5273,0.0243984
485.0094,0.0264984
485.4915,0.0256946
485.9737,0.0232067
486.4558,0.0201159
486.9379,0.0174295
487.4200,0.0163766
487.9021,0.0182603
488.3842,0.0237148
488.8664,0.0318383
489.3485,0.0399543
489.8306,0.0445293
490.3127,0.0430318
490.7948,0.0356122
491.2769,0.0253053
491.7591,0.0164596
492.2412,0.0123814
492.7233,0.0136948
493.2054,0.0184693
493.6875,0.023894
494.1696,0.0280785
494.6518,0.0306744
495.1339,0.0322147
495.6160,0.0330557
496.0981,0.0328851
496.5802,0.0311582
497.0623,0.0279843
497.5445,0.0245616
498.0266,0.0226545
498.5087,0.0234367
498.9908,0.0265829
499.4729,0.0303445
499.9550,0.0325572
500.4372,0.0318502
500.9193,0.0283777
501.4014,0.0238158
501.8835,0.0204849
502.3656,0.0196806
502.8477,0.0204108
503.3299,0.0201731
503.8120,0.0171111
504.2941,0.0112639
504.7762,0.00430366
505.2583,-0.00136998
505.7404,-0.00362241
506.2226,-0.00159745
506.7047,0.00359584
507.1868,0.00936352
507.6689,0.0134199
508.1510,0.0153339
508.6331,0.0163741
509.1153,0.0182105
509.5974,0.021753
510.0795,0.0266391
510.5616,0.0314169
511.0437,0.0344007
511.5258,0.0347439
512.0080,0.0328954
512.4901,0.0301545
512.9722,0.0281352
513.4543,0.0273517
513.9365,0.027665
514.4186,0.028338
514.9007,0.0284942
515.3828,0.0276865
515.8649,0.0262451
